"Label","Etiquette"
"Barcode attribute","Attribut code barre"
"Generate barcodes for all products","G&eacute;&eacute;rer les code barres pour tous les produits"
"Font name","Nom de la police"
"Pdf settings","Param&eacute;trage du PDF"
"Paper height","Hauteur du papier"
"Paper width","Largeur du papier"
"Print on label","Imprimer sur l'&eacute;tiquette"
"Position and size","Position et taille"
"Font size","Taille de la police"
"Generate barcodes","G&eacute;n&eacute;rer"
"Label - Barcode","Etiquette - code barre"
"Label - Price","Etiquette - prix"
"Label - Product Name","Etiquette - Nom du produit"
"Label - Product Sku","Etiquette - Sku"
"Label - Manufacturer","Etiquette - Fabricant"
"Barcodes generated","Codes barre g&eacute;n&eacute;r&eacute;s"
"Label count","Nombre d'&eacute;tiquettes"
"Label preview","Pr&eacute;visualisation de l'&eacute;tiquette"
"Please enter the number of label","Veuillez saisir le nombre d\'&eacute;tiquettes"
"Print Children labels","Imprimer les &eacute;quettes pour les d&eacute;clinaisons"
"X,Y,Width,Height","X,Y,Largeur,Hauteur"
"Jpeg file format !","Image JPEG uniquement"
"Font file name in media/font","Nom du fichier police dans le r&eacute;pertoire media/font"
"Select attribute to store generated barcode. If you dont have such attribute, you must create it","S&eacute;lectionnez l'attribut contenant le code barre"
"Click on this button after first installaiton to initialize barcodes for all products","Cliquez sur ce bouton une fois le module install&eacute; pour g&eacute;n&eacute;rer les code barres pour les produits existants"
"Print Label","Imprimer les &eacute;tiquettes"
"Standard for barcode generation","Standard pour la génération de code barres"
"Generate barcodes","Généré les code barres"
