"Please scan product barcode","En attente de scan produit"
"New stock level","Nouveau stock"
"Decrease mode","Reduire le stock"
"Increase mode","Augmenter le stock"
"Manual mode","Mode manuel"
"No product matches to barcode %s","Aucun produit ne correspond au code barre %s"
"Unable to load product #%s","Impossible de charge le produit #%s"
"Stock level updated !","Stocks mis &agrave; jour"
"New stocks applied","Stocks mis &agrave; jour"
"Module is not configured, please go in system > configuration > Simple barcode inventory","Le module n'est pas configur&eacute; : veuillez le faire via les menu system > configuration > Simple barcode inventory"
"Barcode attribute is not set in system > configuration > simple barcode inventory","Le module n'est pas configur&eacute; : veuillez le faire via les menu system > configuration > Simple barcode inventory"
"History","Historique"
"Barcode","Code barre"
"Commit","Valider"
"Product barcode attribute","Attribut produit contenant le code barre"
"Default mode","Mode par d&eacute;faut"
"Save mode","Mode d'enregistrement"
"Manual","Manuel"
"Immediate","Immediat"
"If immediate, stock level is saved each time you change it (cause delay between to barcode scans)","Si imm&eacute;diat, les stocks sont enregistr&eacute;s &agrave; chaque modification (provoque un d&eacute;lai entre 2 scans)"
"Select the default mode applied in main screen","S&eacute;lectionne le mode par d&eacute;faut appliqu&eacute; dans l'&eacute;cran principal"
