Supplier ID ,Item Number,Qty On Hand,Qty Backordered,Qty On Order,Item Next Availability Date,Item Discontinued ,Item Description
5331,A-001A,0,0,0,,0,ANTON Ultrasonic Humidifier - White
5331,A-002A,0,0,0,,0,ANTON Ultrasonic Humidifier - Black
5331,A-111,100,0,0,,0,IONIC SILVER CUBE
5331,A-112,500,0,0,,0,Cartridge
5331,BL-006A,150,0,0,,0,WILLIAM Ultrasonic Humidifier
5331,EMS-164,400,0,0,,0,Aquila Ultrasonic Humidifier
5331,EMS-171,1000,0,0,,0,Hydra Ultrasonic Humidifier
5331,F-005,30,0,0,,0,FRED Humidifier - black rub.
5331,F-006,100,0,0,,0,FRED Humidifier - silver
5331,F-007,0,0,0,,0,FRED Humidifier - red
5331,M-005,0,0,0,,0,MAX Heater - red
5331,M-006,150,0,0,,0,MAX Heater - white
5331,O-001,0,0,0,,0,OTTO fan - African Saeple Wood
5331,O-009A,0,0,0,,0,Otto Fan - Bamboo
5331,O-020,0,0,0,,0,oskar humidifier -white
5331,O-021,0,0,0,,0,oskar humidifier -black
5331,O-022,0,0,0,,0,oskar humidifier -green
5331,O-030,300,0,0,,0,oskar filter pack
5331,T-001,0,0,0,,0,Tom Airwasher One - Digita
5331,V-001,0,0,0,,0,Viktor air purifier - white
5331,V-002,150,0,0,,0,Viktor air purifier - black
5331,V-010,600,0,0,,0,Viktor filter pack
5331,C-020A,0,0,0,,0,Charly Little
5331,C-003A,0,0,0,,0,Charly Floor
5331,C-010A,0,0,0,,0,Charly Stand
5331,EMS-200,1850,0,0,,0,Jerry Travel Ultrasonic Humidifier
5331,EMS-300,0,0,0,,0,Hera Travel Ultasonic Humidifier
5331,A-006A,10,0,0,,0,ANTON Ultrasonic Humidifier - Honeycomb
5331,A-005A,10,0,0,,0,ANTON Ultrasonic Humidifier - Azurro
5331,F-006A,50,0,0,,0,Fred Humidifier - Silver
5331,F-014A,0,0,0,,0,Fred Humidifier - Honeycomb
5331,F-008A,90,0,0,,0,Fred Humidifier - White
5331,F-005A,30,0,0,,0,Fred Humidifier - black rub.
5331,F-015A,0,0,0,,0,Fred Humidifier - Azurro
5331,M-010A,0,0,0,,0,Max Heater - Honeycomb
5331,A-020,700,0,0,,0,Anna Ceramic Heater - White
5331,A-030,450,0,0,,0,Anna Little Ceramic Heater - White
5331,HAU400,6436,0,0,,0,Nodorsil Microfiber Multipack (set of 6)
5331,J-001,800,0,0,,0,Jasmine Aroma Diffuser - White
5331,J-002,400,0,0,,0,Jasmine Aroma Diffuser - Black
5331,J-003,600,0,0,,0,Jasmine Aroma Diffuser - Yellow
5331,J-004,350,0,0,,0,Jasmine Aroma Diffuser - Blue 
5331,D-001,300,0,0,,0,Albert Dehumidifier
5331,A-007A,0,0,0,,0,Anton Ultrasonic humidifier- metal
5331,A-008A,0,0,0,,0,Anton Ultrasonic humidifier - berry 
5331,O-031,1138,0,0,,0,Oskar Filter pack 4 pack 
5331,M-008,57,0,0,,0,Max Heater- Metal
5331,A-200,20,0,0,,0,Robert Humidifier and Air Purifier (Air Washer)
5331,f-005a,20,0,0,,0,FRED Humidifier - Black
5331,O-025A,10,0,0,,0,OKSAR BIG Humidifier - Black
5331,0-030,242,0,0,,0,OSKAR Filter 2 -Pack
5331,O-031,1138,0,0,,0,OSKAR Filter 4 - Pack
5331,A-007A,0,0,0,,0,Anton Ultrasonic Humidifier - Berry
5331,A-008A,0,0,0,,0,Anton Ultrasonic Humidifier - Metal
5331,S-001,75,0,0,,0,Selina Hygrometer - White
5331,S-002,75,0,0,,0,Selina Hygrometer - Black
5331,HAU400,10000,0,0,,0,Nodorsil Micorfiber Mulit-6 Pack (total 12 cloths)
